Account Name,Account Type,Account Classification,Account Number,Symbol,Exchange,MIC,Name,Security Type,Quantity,Position Direction,Market Price,Market Price Currency,Book Value (CAD),Book Value Currency (CAD),Book Value (Market),Book Value Currency (Market),Market Value,Market Value Currency,Market Unrealized Returns,Market Unrealized Returns Currency
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","NVDA","NASDAQ","XNAS","NVIDIA Corporation","EQUITY","42","LONG","432.18","USD",11991.83,"CAD",8817.52,"USD",14284.38,"USD",5466.86,"USD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","AAPL","NASDAQ","XNAS","Apple Inc","EQUITY","38.5","LONG","289.42","USD",8457.82,"CAD",6218.99,"USD",8768.77,"USD",2549.78,"USD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","MSFT","NASDAQ","XNAS","Microsoft Corporation","EQUITY","22","LONG","512.88","USD",9433.88,"CAD",6936.68,"USD",8878.95,"USD",1942.27,"USD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","VFV","TSX","XTSE","Vanguard S&P 500 Index ETF","EXCHANGE_TRADED_FUND","118","LONG","168.42","CAD",11584.79,"CAD",11584.79,"CAD",15639.47,"CAD",4054.68,"CAD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","VEQT","TSX","XTSE","Vanguard All-Equity ETF Portfolio","EXCHANGE_TRADED_FUND","245","LONG","58.92","CAD",9310.94,"CAD",9310.94,"CAD",11359.35,"CAD",2048.41,"CAD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","GOOG","NASDAQ","XNAS","Alphabet Inc.","EQUITY","18.2","LONG","398.15","USD",5003.13,"CAD",3678.77,"USD",5702.1,"USD",2023.33,"USD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","META","NASDAQ","XNAS","Meta Platforms Inc.","EQUITY","8.75","LONG","612.40","USD",4819.61,"CAD",3543.83,"USD",4217.16,"USD",673.33,"USD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","QQQ","NASDAQ","XNAS","Invesco QQQ Trust","EXCHANGE_TRADED_FUND","9.5","LONG","548.22","USD",4254.77,"CAD",3128.5,"USD",4098.34,"USD",969.84,"USD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","TQQQ","NASDAQ","XNAS","ProShares UltraPro QQQ","EXCHANGE_TRADED_FUND","52","LONG","78.64","USD",4972.9,"CAD",3656.55,"USD",3217.76,"USD",-438.79,"USD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","ARKK","BATS","BATS","ARK Innovation ETF","EXCHANGE_TRADED_FUND","48","LONG","54.28","USD",3872.15,"CAD",2847.17,"USD",2049.96,"USD",-797.21,"USD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","SHOP","TSX","XTSE","Shopify Inc.","EQUITY","28","LONG","148.35","CAD",3026.77,"CAD",3026.77,"CAD",3268.91,"CAD",242.14,"CAD"
"Sample TFSA","TFSA","Trade","SAMPLE-TFSA-01","ATZ","TSX","XTSE","Aritzia Inc.","EQUITY","22","LONG","112.80","CAD",2055.96,"CAD",2055.96,"CAD",1953.16,"CAD",-102.8,"CAD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","XEQT","TSX","XTSE","iShares Core Equity ETF Portfolio","EXCHANGE_TRADED_FUND","198","LONG","43.18","CAD",5701.92,"CAD",5701.92,"CAD",6728.26,"CAD",1026.34,"CAD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","XAW","TSX","XTSE","iShares Core MSCI All Country World ex Canada Index ETF","EXCHANGE_TRADED_FUND","72","LONG","62.45","CAD",2853.26,"CAD",2853.26,"CAD",3538.04,"CAD",684.78,"CAD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","TD","TSX","XTSE","The Toronto-Dominion Bank","EQUITY","48","LONG","98.72","CAD",3271.29,"CAD",3271.29,"CAD",3729.27,"CAD",457.98,"CAD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","RY","TSX","XTSE","Royal Bank of Canada","EQUITY","22","LONG","198.45","CAD",2839.45,"CAD",2839.45,"CAD",3435.74,"CAD",596.29,"CAD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","ENB","TSX","XTSE","Enbridge Inc.","EQUITY","85","LONG","62.18","CAD",3815.53,"CAD",3815.53,"CAD",4158.93,"CAD",343.4,"CAD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","CNQ","TSX","XTSE","Canadian Natural Resources Limited","EQUITY","52","LONG","48.92","CAD",1505.23,"CAD",1505.23,"CAD",2001.95,"CAD",496.72,"CAD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","XGD","TSX","XTSE","iShares S&P/TSX Global Gold Index ETF","EXCHANGE_TRADED_FUND","44","LONG","28.65","CAD",684.36,"CAD",684.36,"CAD",992.32,"CAD",307.96,"CAD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","ZEB","TSX","XTSE","BMO Equal Weight Banks Index ETF","EXCHANGE_TRADED_FUND","18","LONG","52.40","CAD",668.54,"CAD",668.54,"CAD",742.08,"CAD",73.54,"CAD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","AMD","NASDAQ","XNAS","Advanced Micro Devices Inc.","EQUITY","14","LONG","178.92","USD",1763.76,"CAD",1296.88,"USD",1971.26,"USD",674.38,"USD"
"Sample RRSP","RRSP","Trade","SAMPLE-RRSP-02","AMZN","NASDAQ","XNAS","Amazon.com Inc.","EQUITY","11","LONG","228.64","USD",1964.68,"CAD",1444.62,"USD",1979.13,"USD",534.51,"USD"
"Sample Personal","Personal","Trade","SAMPLE-NREG-03","TSM","NYSE","XNYS","Taiwan Semiconductor Manufacturing","EQUITY","9","LONG","218.45","USD",1421.67,"CAD",1045.34,"USD",1547.11,"USD",501.77,"USD"
"Sample Personal","Personal","Trade","SAMPLE-NREG-03","COST","NASDAQ","XNAS","Costco Wholesale Corporation","EQUITY","1.8","LONG","982.10","USD",1501.71,"CAD",1104.2,"USD",1391.29,"USD",287.09,"USD"
"Sample Personal","Personal","Trade","SAMPLE-NREG-03","BRK.B","NYSE","XNYS","Berkshire Hathaway Inc. Class B","EQUITY","2.5","LONG","468.22","USD",1089.77,"CAD",801.3,"USD",921.5,"USD",120.2,"USD"
"Sample Personal","Personal","Trade","SAMPLE-NREG-03","CM","TSX","XTSE","Canadian Imperial Bank of Commerce","EQUITY","18","LONG","108.34","CAD",1370.11,"CAD",1370.11,"CAD",1534.52,"CAD",164.41,"CAD"
"Sample Personal","Personal","Trade","SAMPLE-NREG-03","CHPS","TSX","XTSE","Global X Artificial Intelligence Semiconductor Index ETF","EXCHANGE_TRADED_FUND","24","LONG","62.88","CAD",1448.15,"CAD",1448.15,"CAD",1187.48,"CAD",-260.67,"CAD"
"Sample Personal","Personal","Trade","SAMPLE-NREG-03","INTC","NASDAQ","XNAS","Intel Corporation","EQUITY","32","LONG","24.18","USD",1061.99,"CAD",780.87,"USD",609.08,"USD",-171.79,"USD"
"Sample Personal","Personal","Trade","SAMPLE-NREG-03","LULU","NASDAQ","XNAS","Lululemon Athletica inc.","EQUITY","4","LONG","318.55","USD",1585.43,"CAD",1165.76,"USD",1002.55,"USD",-163.21,"USD"

"As of 2026-05-15 16:00 GMT-04:00"
